17/03/2017 15:39:45 | MVCForum.Services.dll | GetResourceString | MVCForum.Services.LocalizationService | 0 | This resource key 'Plant Index' was not found for the language English (United Kingdom).
17/03/2017 15:39:51 | MVCForum.Services.dll | GetResourceString | MVCForum.Services.LocalizationService | 0 | This resource key 'Plant Index' was not found for the language English (United Kingdom).
17/03/2017 15:39:51 | MVCForum.Services.dll | GetResourceString | MVCForum.Services.LocalizationService | 0 | This resource key 'Plant Index' was not found for the language English (United Kingdom).
17/03/2017 15:40:15 | MVCForum.Services.dll | GetResourceString | MVCForum.Services.LocalizationService | 0 | This resource key 'Exchanges' was not found for the language English (United Kingdom).
17/03/2017 15:40:15 | MVCForum.Services.dll | GetResourceString | MVCForum.Services.LocalizationService | 0 | This resource key 'Plant Index' was not found for the language English (United Kingdom).
17/03/2017 15:40:15 | MVCForum.Services.dll | GetResourceString | MVCForum.Services.LocalizationService | 0 | This resource key 'Exchanges' was not found for the language English (United Kingdom).
17/03/2017 15:40:15 | MVCForum.Services.dll | GetResourceString | MVCForum.Services.LocalizationService | 0 | This resource key 'Plant Index' was not found for the language English (United Kingdom).
17/03/2017 15:49:49 | MVCForum.Services.dll | GetResourceString | MVCForum.Services.LocalizationService | 0 | This resource key 'Plant Index' was not found for the language English (United Kingdom).
17/03/2017 15:49:49 | MVCForum.Services.dll | GetResourceString | MVCForum.Services.LocalizationService | 0 | This resource key 'Exchanges' was not found for the language English (United Kingdom).
17/03/2017 15:49:49 | MVCForum.Services.dll | GetResourceString | MVCForum.Services.LocalizationService | 0 | This resource key 'Plant Index' was not found for the language English (United Kingdom).
17/03/2017 15:49:49 | MVCForum.Services.dll | GetResourceString | MVCForum.Services.LocalizationService | 0 | This resource key 'Exchanges' was not found for the language English (United Kingdom).
17/03/2017 15:49:49 | MVCForum.Services.dll | GetResourceString | MVCForum.Services.LocalizationService | 0 | This resource key 'Plant Index' was not found for the language English (United Kingdom).
17/03/2017 15:49:54 | MVCForum.Services.dll | GetResourceString | MVCForum.Services.LocalizationService | 0 | This resource key 'Exchanges' was not found for the language English (United Kingdom).
17/03/2017 15:49:54 | MVCForum.Services.dll | GetResourceString | MVCForum.Services.LocalizationService | 0 | This resource key 'Plant Index' was not found for the language English (United Kingdom).
17/03/2017 15:49:54 | MVCForum.Services.dll | GetResourceString | MVCForum.Services.LocalizationService | 0 | This resource key 'Exchanges' was not found for the language English (United Kingdom).
17/03/2017 15:49:54 | MVCForum.Services.dll | GetResourceString | MVCForum.Services.LocalizationService | 0 | This resource key 'Plant Index' was not found for the language English (United Kingdom).
17/03/2017 16:03:47 | MVCForum.Website.dll | Application_Start | MVCForum.Website.MvcApplication | 0 | START APP
17/03/2017 16:03:52 | MVCForum.Website.dll | Application_Error | MVCForum.Website.MvcApplication | 0 | The if block is missing a closing "}" character.  Make sure you have a matching "}" character for all the "{" characters within this block, and that none of the "}" characters are being interpreted as markup.

17/03/2017 16:22:53 | MVCForum.Website.dll | Application_Start | MVCForum.Website.MvcApplication | 0 | START APP
17/03/2017 16:22:57 | MVCForum.Website.dll | Application_Error | MVCForum.Website.MvcApplication | 0 | Unexpected "foreach" keyword after "@" character.  Once inside code, you do not need to prefix constructs like "foreach" with "@".

17/03/2017 16:23:42 | MVCForum.Website.dll | Application_Start | MVCForum.Website.MvcApplication | 0 | START APP
17/03/2017 16:23:46 | MVCForum.Website.dll | Application_Error | MVCForum.Website.MvcApplication | 0 | c:\Users\WeCanCodeIT\AppData\Local\Temp\Temporary ASP.NET Files\root\64dfdae0\6a69ecae\App_Web_index.cshtml.d40cb8b0.h5lw0ivx.0.cs(394): error CS1513: } expected
17/03/2017 16:24:47 | MVCForum.Website.dll | Application_Start | MVCForum.Website.MvcApplication | 0 | START APP
17/03/2017 16:24:50 | MVCForum.Website.dll | Application_Error | MVCForum.Website.MvcApplication | 0 | c:\Users\WeCanCodeIT\AppData\Local\Temp\Temporary ASP.NET Files\root\64dfdae0\6a69ecae\App_Web_index.cshtml.d40cb8b0.69waig-j.0.cs(394): error CS1513: } expected
17/03/2017 16:25:26 | MVCForum.Website.dll | Application_Start | MVCForum.Website.MvcApplication | 0 | START APP
17/03/2017 16:25:31 | MVCForum.Services.dll | GetResourceString | MVCForum.Services.LocalizationService | 0 | This resource key 'Exchanges' was not found for the language English (United Kingdom).
17/03/2017 16:25:31 | MVCForum.Services.dll | GetResourceString | MVCForum.Services.LocalizationService | 0 | This resource key 'Plant Index' was not found for the language English (United Kingdom).
17/03/2017 16:25:31 | MVCForum.Services.dll | GetResourceString | MVCForum.Services.LocalizationService | 0 | This resource key 'Exchanges' was not found for the language English (United Kingdom).
17/03/2017 16:25:31 | MVCForum.Services.dll | GetResourceString | MVCForum.Services.LocalizationService | 0 | This resource key 'Plant Index' was not found for the language English (United Kingdom).
17/03/2017 16:25:42 | MVCForum.Website.dll | Application_Error | MVCForum.Website.MvcApplication | 0 | c:\Users\WeCanCodeIT\AppData\Local\Temp\Temporary ASP.NET Files\root\64dfdae0\6a69ecae\App_Web_index.cshtml.d40cb8b0.tiz7czxp.0.cs(394): error CS1513: } expected
17/03/2017 16:28:01 | MVCForum.Website.dll | Application_Start | MVCForum.Website.MvcApplication | 0 | START APP
17/03/2017 16:28:04 | MVCForum.Website.dll | Application_Error | MVCForum.Website.MvcApplication | 0 | c:\Users\WeCanCodeIT\AppData\Local\Temp\Temporary ASP.NET Files\root\64dfdae0\6a69ecae\App_Web_index.cshtml.d40cb8b0.awoxezy2.0.cs(388): error CS1513: } expected
17/03/2017 16:30:35 | MVCForum.Website.dll | Application_Start | MVCForum.Website.MvcApplication | 0 | START APP
17/03/2017 16:30:40 | MVCForum.Services.dll | GetResourceString | MVCForum.Services.LocalizationService | 0 | This resource key 'Exchanges' was not found for the language English (United Kingdom).
17/03/2017 16:30:40 | MVCForum.Services.dll | GetResourceString | MVCForum.Services.LocalizationService | 0 | This resource key 'Plant Index' was not found for the language English (United Kingdom).
17/03/2017 16:30:40 | MVCForum.Services.dll | GetResourceString | MVCForum.Services.LocalizationService | 0 | This resource key 'Exchanges' was not found for the language English (United Kingdom).
17/03/2017 16:30:40 | MVCForum.Services.dll | GetResourceString | MVCForum.Services.LocalizationService | 0 | This resource key 'Plant Index' was not found for the language English (United Kingdom).
17/03/2017 16:44:58 | MVCForum.Website.dll | Application_Start | MVCForum.Website.MvcApplication | 0 | START APP
17/03/2017 16:45:03 | MVCForum.Services.dll | GetResourceString | MVCForum.Services.LocalizationService | 0 | This resource key 'Exchanges' was not found for the language English (United Kingdom).
17/03/2017 16:45:03 | MVCForum.Services.dll | GetResourceString | MVCForum.Services.LocalizationService | 0 | This resource key 'Plant Index' was not found for the language English (United Kingdom).
17/03/2017 16:45:03 | MVCForum.Services.dll | GetResourceString | MVCForum.Services.LocalizationService | 0 | This resource key 'Exchanges' was not found for the language English (United Kingdom).
17/03/2017 16:45:03 | MVCForum.Services.dll | GetResourceString | MVCForum.Services.LocalizationService | 0 | This resource key 'Plant Index' was not found for the language English (United Kingdom).
17/03/2017 16:46:16 | MVCForum.Website.dll | Application_Start | MVCForum.Website.MvcApplication | 0 | START APP
17/03/2017 16:46:21 | MVCForum.Services.dll | GetResourceString | MVCForum.Services.LocalizationService | 0 | This resource key 'Exchanges' was not found for the language English (United Kingdom).
17/03/2017 16:46:21 | MVCForum.Services.dll | GetResourceString | MVCForum.Services.LocalizationService | 0 | This resource key 'Plant Index' was not found for the language English (United Kingdom).
17/03/2017 16:46:21 | MVCForum.Services.dll | GetResourceString | MVCForum.Services.LocalizationService | 0 | This resource key 'Exchanges' was not found for the language English (United Kingdom).
17/03/2017 16:46:21 | MVCForum.Services.dll | GetResourceString | MVCForum.Services.LocalizationService | 0 | This resource key 'Plant Index' was not found for the language English (United Kingdom).
17/03/2017 16:47:29 | MVCForum.Website.dll | Application_Start | MVCForum.Website.MvcApplication | 0 | START APP
17/03/2017 16:47:34 | MVCForum.Services.dll | GetResourceString | MVCForum.Services.LocalizationService | 0 | This resource key 'Exchanges' was not found for the language English (United Kingdom).
17/03/2017 16:47:34 | MVCForum.Services.dll | GetResourceString | MVCForum.Services.LocalizationService | 0 | This resource key 'Plant Index' was not found for the language English (United Kingdom).
17/03/2017 16:47:34 | MVCForum.Services.dll | GetResourceString | MVCForum.Services.LocalizationService | 0 | This resource key 'Exchanges' was not found for the language English (United Kingdom).
